"Município(Res)";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"260790 Jaboatão dos Guararapes";27;32;32;54;59;52;56;35;46;57;60;56;50;68;56;33;61;834
"260795 Jaqueira";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;3
"260800 Jataúba";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
"260805 Jatobá";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"260810 João Alfredo";0;0;0;0;0;1;0;2;1;2;1;0;1;3;0;1;2;14
"260820 Joaquim Nabuco";0;2;0;0;0;0;1;0;0;0;0;1;0;0;1;1;2;8
"260825 Jucati";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2
"260830 Jupi";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2
"260840 Jurema";0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;3
"260845 Lagoa do Carro";1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;7
"260850 Lagoa do Itaenga";1;0;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;7
"260860 Lagoa do Ouro";1;0;1;0;0;0;0;1;0;0;1;0;0;2;0;0;1;7
"260870 Lagoa dos Gatos";0;1;0;0;0;0;0;0;0;0;1;1;0;1;2;0;1;7
"260875 Lagoa Grande";0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;2;7
"260880 Lajedo";0;0;0;0;1;0;0;2;2;0;0;0;1;1;1;0;0;8
"260890 Limoeiro";0;3;1;2;2;2;4;6;3;1;1;3;4;2;3;6;2;45
"260900 Macaparana";0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;3
"260910 Machados";0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;4
"260915 Manari";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"260920 Maraial";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2
"261430 Moreilândia";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"260940 Moreno";2;2;3;1;3;2;2;5;1;2;1;2;3;3;3;5;0;40
"260950 Nazaré da Mata";2;0;0;0;1;0;1;1;1;1;0;0;0;1;1;1;1;11
"260960 Olinda";52;30;34;28;34;40;30;33;34;29;48;28;35;39;30;50;40;614
"260970 Orobó";0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3
"260990 Ouricuri";0;0;1;0;1;0;2;0;0;1;1;0;0;0;0;2;0;8
"261000 Palmares";0;1;2;0;2;0;0;2;1;6;3;2;3;2;1;1;3;29
"261010 Palmeirina";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"261020 Panelas";0;0;0;1;0;0;1;0;0;0;2;0;1;0;0;0;0;5
"261030 Paranatama";0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;3
"261040 Parnamirim";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"261050 Passira";0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;1;5
"261060 Paudalho";1;0;3;0;0;0;6;1;1;2;4;2;3;0;2;2;2;29
"261070 Paulista";22;22;15;18;13;20;23;13;20;11;16;12;21;24;24;29;28;331
"261080 Pedra";0;0;0;2;0;1;0;0;0;1;0;0;0;2;1;0;0;7
"261090 Pesqueira";2;0;2;0;2;1;0;0;2;0;3;3;2;5;2;1;2;27
"261100 Petrolândia";1;0;0;0;0;1;0;0;0;0;0;1;0;2;0;1;0;6
"261110 Petrolina";4;6;3;2;1;5;10;5;7;5;5;8;17;9;12;4;15;118
"261120 Poção";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2
"261130 Pombos";1;0;0;1;0;0;0;0;2;0;1;2;0;0;2;1;2;12
"261140 Primavera";0;0;0;1;1;0;0;0;2;0;2;0;0;1;1;3;0;11
"261150 Quipapá";0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;2;5
"261153 Quixaba";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"261160 Recife";189;115;127;117;135;127;134;126;141;153;133;139;150;156;182;138;192;2454
"261170 Riacho das Almas";0;0;1;1;1;0;0;1;1;0;1;0;0;0;0;2;0;8
"261180 Ribeirão";0;1;1;0;0;0;0;2;1;1;2;3;0;4;4;1;1;21
"261190 Rio Formoso";0;0;0;0;0;0;1;1;1;1;3;2;1;1;2;2;2;17
"261200 Sairé";0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;3
"261210 Salgadinho";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
"261220 Salgueiro";2;0;0;3;0;1;1;1;0;0;1;0;2;1;0;1;1;14
"261230 Saloá";0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;3
"261240 Sanharó";0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;4
"261245 Santa Cruz";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;3
"261247 Santa Cruz da Baixa Verde";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"261250 Santa Cruz do Capibaribe";1;1;1;0;1;0;2;3;0;1;3;1;3;1;4;1;2;25
"261255 Santa Filomena";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2
"261260 Santa Maria da Boa Vista";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2
"261270 Santa Maria do Cambucá";0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;4
"261290 São Benedito do Sul";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2
"261300 São Bento do Una";3;0;0;1;2;0;0;2;3;1;0;0;2;2;1;5;0;22
"261310 São Caitano";0;0;0;1;1;1;2;6;1;2;2;2;2;2;2;0;2;26
"261320 São João";0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;4
"261330 São Joaquim do Monte";1;0;0;0;0;0;0;0;1;0;3;0;1;0;0;0;0;6
"261340 São José da Coroa Grande";0;0;2;0;0;0;0;1;0;0;0;1;2;3;0;1;2;12
"261350 São José do Belmonte";0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2;3;8
"261360 São José do Egito";2;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0;1;8
"261370 São Lourenço da Mata";2;3;4;3;4;4;5;7;9;3;2;4;8;1;10;8;9;86
"261380 São Vicente Ferrer";1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;2;7
"261390 Serra Talhada";0;0;0;0;1;1;2;1;1;0;2;3;1;5;1;3;6;27
"261400 Serrita";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
"261410 Sertânia";1;0;3;0;2;1;0;0;0;0;1;0;1;1;0;1;1;12
"261420 Sirinhaém";0;0;1;0;1;0;0;1;0;2;3;3;2;3;2;0;1;19
"261450 Surubim";2;1;2;2;1;2;2;0;0;1;1;4;2;3;1;1;0;25
"261460 Tabira";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;3
"261470 Tacaimbó";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2
"261485 Tamandaré";0;0;0;0;2;2;2;1;2;1;1;1;3;2;1;1;4;23
"261500 Taquaritinga do Norte";1;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;5
"261520 Terra Nova";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"261530 Timbaúba";3;1;1;0;1;0;1;2;2;0;1;1;2;3;4;3;2;27
"261540 Toritama";0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;5
"261550 Tracunhaém";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"261560 Trindade";0;0;0;1;0;0;1;3;1;1;0;1;0;1;0;1;0;10
"261570 Triunfo";0;0;2;0;0;1;0;0;0;1;0;0;1;0;0;0;1;6
"261580 Tupanatinga";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2
"261590 Tuparetama";0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;3
"261600 Venturosa";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
"261610 Verdejante";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"261618 Vertente do Lério";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;3
"261620 Vertentes";1;0;0;0;0;1;0;1;0;1;0;2;1;0;0;0;0;7
"261630 Vicência";0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;1;5
"261640 Vitória de Santo Antão";3;5;4;4;5;5;5;2;5;2;5;6;7;9;9;9;5;90
"261650 Xexéu";0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;1;5
"260000 Município ignorado - PE";1;2;0;2;0;0;0;0;1;0;1;2;0;2;0;1;1;13
"270010 Água Branca";0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3
"270020 Anadia";0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;3
"270030 Arapiraca";3;4;3;1;5;2;3;4;2;0;0;2;2;5;6;2;7;51
"270040 Atalaia";0;0;0;0;0;1;1;0;0;2;0;0;0;1;2;3;1;11
"270050 Barra de Santo Antônio";0;0;0;0;1;0;0;1;0;0;0;2;0;0;2;0;0;6
"270060 Barra de São Miguel";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"270070 Batalha";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"270080 Belém";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"270100 Boca da Mata";0;1;0;0;0;1;1;0;0;2;0;0;0;0;0;0;1;6
"270110 Branquinha";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"270120 Cacimbinhas";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"270135 Campestre";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;3
"270140 Campo Alegre";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;4
"270170 Capela";1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;3
"270190 Chã Preta";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"270200 Coité do Nóia";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"270210 Colônia Leopoldina";0;0;2;1;0;0;0;0;0;1;0;0;0;0;1;0;0;5
"270220 Coqueiro Seco";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"270230 Coruripe";0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;2;2;7
"270240 Delmiro Gouveia";0;0;0;0;0;1;2;1;0;1;0;0;0;1;1;0;0;7
"270250 Dois Riachos";0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3
"270255 Estrela de Alagoas";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"270260 Feira Grande";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"270280 Flexeiras";0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;3
"270290 Girau do Ponciano";0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2
"270300 Ibateguara";0;0;0;0;0;3;1;0;0;0;2;0;0;0;0;0;0;6
"270310 Igaci";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;1;5
"270320 Igreja Nova";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
"270370 Jaramataia";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"270375 Jequiá da Praia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"270380 Joaquim Gomes";0;0;0;0;1;0;0;0;0;0;2;0;0;3;0;1;2;9
"270390 Jundiá";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"270400 Junqueiro";1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;5
"270410 Lagoa da Canoa";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"270420 Limoeiro de Anadia";0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;4
"270430 Maceió";34;25;20;18;24;32;41;32;33;39;38;41;48;60;72;79;60;696
"270440 Major Isidoro";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;4
"270450 Maragogi";0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;3;2;9
"270460 Maravilha";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2
"270470 Marechal Deodoro";0;0;0;0;0;2;0;3;1;1;0;1;2;3;5;4;1;23
"270480 Maribondo";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"270500 Mata Grande";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2
"270510 Matriz de Camaragibe";0;0;0;0;0;1;0;0;1;0;0;0;2;0;3;2;0;9
"270520 Messias";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2
"270540 Monteirópolis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"270550 Murici";0;0;0;0;0;0;1;0;1;1;0;0;1;1;2;1;0;8
"270560 Novo Lino";0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;4
"270570 Olho d'Água das Flores";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2
"270580 Olho d'Água do Casado";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"270600 Olivença";0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;4
"270610 Ouro Branco";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
"270620 Palestina";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"270630 Palmeira dos Índios";0;2;1;1;0;0;0;2;1;2;1;1;3;2;1;3;2;22
"270640 Pão de Açúcar";0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;5
"270642 Pariconha";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"270644 Paripueira";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2
"270650 Passo de Camaragibe";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;4
"270660 Paulo Jacinto";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3
"270670 Penedo";0;0;1;0;0;0;0;0;0;1;1;1;2;0;3;2;3;14
"270680 Piaçabuçu";0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;4
"270690 Pilar";0;1;0;0;0;0;2;0;2;0;0;2;3;5;1;0;2;18
"270700 Pindoba";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"270710 Piranhas";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2
"270730 Porto Calvo";1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;2;7
"270740 Porto de Pedras";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"270750 Porto Real do Colégio";0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;3
"270760 Quebrangulo";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;3
"270770 Rio Largo";0;0;0;0;2;0;1;0;1;2;1;7;2;3;3;0;7;29
"270780 Roteiro";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"270790 Santa Luzia do Norte";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"270800 Santana do Ipanema";0;0;0;0;1;2;1;1;0;0;1;0;0;0;0;0;1;7
"270820 São Brás";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"270830 São José da Laje";0;0;0;0;1;2;0;0;0;1;0;0;0;1;0;0;0;5
"270840 São José da Tapera";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2
"270850 São Luís do Quitunde";1;1;0;0;0;0;0;0;0;0;0;0;1;2;1;3;1;10
"270860 São Miguel dos Campos";1;1;0;0;0;2;2;1;1;0;0;0;0;2;3;1;1;15
"270870 São Miguel dos Milagres";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"270880 São Sebastião";0;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;0;6
"270890 Satuba";0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4
"270895 Senador Rui Palmeira";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"270910 Taquarana";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"270915 Teotônio Vilela";0;1;0;0;0;2;0;0;0;1;0;1;0;2;1;1;2;11
"270930 União dos Palmares";0;0;1;0;0;1;0;4;0;1;1;1;2;0;1;2;1;15
"270940 Viçosa";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2
"280010 Amparo de São Francisco";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"280020 Aquidabã";0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;1;0;5
"280030 Aracaju";12;13;6;19;18;15;15;13;22;25;12;23;15;20;26;33;33;320
"280040 Arauá";0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;4
"280050 Areia Branca";0;0;0;0;0;1;0;0;1;0;0;1;2;1;0;1;0;7
"280060 Barra dos Coqueiros";0;0;1;0;1;1;1;0;0;1;1;3;1;3;3;0;1;17
"280067 Boquim";1;1;0;0;3;2;1;0;2;2;0;1;0;5;2;1;1;22
"280100 Campo do Brito";0;0;1;0;0;1;0;0;2;0;1;0;4;1;1;2;1;14
"280110 Canhoba";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"280120 Canindé de São Francisco";0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;5
"280130 Capela";0;1;1;1;1;0;1;0;0;1;0;0;2;4;0;0;3;15
"280140 Carira";0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;4
"280150 Carmópolis";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2
"280160 Cedro de São João";0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;5
"280170 Cristinápolis";0;0;0;0;1;0;1;0;0;0;0;2;0;1;0;0;1;6
"280200 Divina Pastora";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"280210 Estância";2;1;0;0;2;3;1;3;4;2;1;4;5;4;4;5;3;44
"280220 Feira Nova";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"280230 Frei Paulo";0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;1;6
"280250 General Maynard";0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;4
"280270 Ilha das Flores";0;1;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;5
"280280 Indiaroba";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"280290 Itabaiana";6;1;1;1;1;0;1;2;4;2;4;0;4;7;4;3;7;48
"280300 Itabaianinha";0;0;0;0;1;0;0;0;0;1;1;0;3;1;0;0;1;8
"280310 Itabi";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"280320 Itaporanga d'Ajuda";0;0;0;2;0;0;0;1;0;1;0;0;0;0;2;2;0;8
"280330 Japaratuba";0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;5
"280340 Japoatã";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"280350 Lagarto";0;1;1;2;1;3;2;1;5;1;1;5;4;2;3;3;1;36
"280360 Laranjeiras";0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;3
"280370 Macambira";1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3
"280380 Malhada dos Bois";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"280390 Malhador";0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;4
"280400 Maruim";0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;5
"280410 Moita Bonita";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"280420 Monte Alegre de Sergipe";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"280430 Muribeca";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"280440 Neópolis";0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;4
"280445 Nossa Senhora Aparecida";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
"280450 Nossa Senhora da Glória";0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;2;6
"280460 Nossa Senhora das Dores";0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;2;6
"280480 Nossa Senhora do Socorro";3;2;4;5;4;3;5;5;4;6;5;5;4;8;5;6;4;78
"280510 Pedrinhas";0;0;1;0;0;1;0;0;0;1;2;0;2;1;0;1;0;9
"280520 Pinhão";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"280530 Pirambu";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"280540 Poço Redondo";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"280550 Poço Verde";0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;4
"280560 Porto da Folha";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"280570 Propriá";1;1;1;0;2;0;0;0;2;3;1;0;4;4;2;1;1;23
"280580 Riachão do Dantas";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;4
"280590 Riachuelo";0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2
"280600 Ribeirópolis";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2
"280610 Rosário do Catete";0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;4
"280620 Salgado";0;0;0;1;1;0;2;0;0;1;1;0;1;0;0;0;0;7
"280630 Santa Luzia do Itanhy";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3
"280660 Santo Amaro das Brotas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"280670 São Cristóvão";0;0;0;2;0;0;2;0;0;1;0;3;3;5;1;6;3;26
"280680 São Domingos";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
"280690 São Francisco";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"280700 São Miguel do Aleixo";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"280710 Simão Dias";0;0;0;2;0;0;0;0;0;0;1;1;1;0;0;1;1;7
"280720 Siriri";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"280730 Telha";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"280740 Tobias Barreto";0;0;0;0;0;1;0;1;1;0;0;1;3;1;0;1;0;9
"280750 Tomar do Geru";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"280760 Umbaúba";0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;5
"280000 Município ignorado - SE";9;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;12
"290010 Abaíra";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2
"290030 Acajutiba";0;0;1;0;3;0;0;0;1;0;0;1;1;0;1;0;0;8
"290040 Água Fria";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2
"290060 Aiquara";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;3
"290070 Alagoinhas";2;0;2;2;5;4;1;0;1;1;2;1;2;5;5;5;3;41
"290080 Alcobaça";1;0;0;1;1;0;1;0;0;1;0;2;3;0;0;1;0;11
"290100 Amargosa";0;0;0;1;1;0;0;2;0;1;1;0;2;0;2;1;2;13
"290110 Amélia Rodrigues";0;0;0;0;0;0;1;0;2;2;0;0;0;2;0;0;1;8
"290115 América Dourada";0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;3
"290120 Anagé";0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;4
"290130 Andaraí";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2
"290135 Andorinha";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
"290140 Angical";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"290180 Antônio Gonçalves";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2
"290190 Aporá";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2
"290205 Araças";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;3
"290200 Aracatu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"290210 Araci";0;0;0;0;2;0;1;1;0;0;1;0;0;1;0;1;1;8
"290220 Aramari";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"290225 Arataca";0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;3
"290230 Aratuípe";0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;3
"290240 Aurelino Leal";0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;4
"290265 Banzaê";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"290270 Barra";0;0;0;0;0;0;0;0;0;1;1;2;0;0;1;0;0;5
"290290 Barra do Choça";0;0;0;0;1;0;1;1;2;0;0;1;0;1;0;0;0;7
"290300 Barra do Mendes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"290320 Barreiras";1;3;2;0;1;1;1;6;1;6;0;0;3;3;3;4;2;37
"290323 Barro Alto";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2
"290327 Barrocas";0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;3
"290340 Belmonte";0;0;0;0;0;0;0;1;0;2;1;0;0;3;2;4;2;15
"290350 Belo Campo";0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;3
"290360 Biritinga";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"290370 Boa Nova";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2
"290380 Boa Vista do Tupim";0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;4
"290390 Bom Jesus da Lapa";0;0;0;0;0;0;1;1;4;2;3;2;1;2;2;1;1;20
"290395 Bom Jesus da Serra";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"290410 Boquira";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;3
"290420 Botuporã";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"290430 Brejões";0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;5
"290450 Brotas de Macaúbas";0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;3
"290460 Brumado";0;0;0;0;1;2;0;0;0;0;1;0;2;1;1;1;1;10
"290470 Buerarema";0;0;0;0;2;1;2;0;0;2;1;0;2;1;1;1;2;15
"290475 Buritirama";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"290480 Caatiba";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
"290485 Cabaceiras do Paraguaçu";0;0;0;2;1;0;0;0;1;0;0;2;0;1;0;0;0;7
"290490 Cachoeira";0;0;1;1;1;4;4;3;0;0;2;0;2;1;2;5;2;28
"290500 Caculé";0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;4
"290510 Caém";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;3
