ClusterID	AllPeople	d_Work	AgricultHF	Manufact	Construct	HotelRest	FinanceInt	RealEstate	Admin	Education	Income	NetIncome	NIncBH	NIncAH	Households	CarsVans	Dwellings	OccuDwell	UnDwell	UnSecDwell	Employed	Managers	Profess	technical	Admin2	SkillTrd	Service	Sales	plant	Basic	Coach	Train	Patents	Morphology
12	305219.001693	646.939999	1294.999996	19803.00006	8788.000034	6766.000083	3917.000006	11394.000054	17340.000121	11570.000025	56472430.257766	47249600.203581	43445690.263817	38118210.189675	128527.001013	132932.000215	133609.001136	128532.001013	5077.000124	714.000015	137487.000609	15066.000065	12102.000031	20544.00011	16928.000039	17505.000061	10463.000038	14248.000083	12343.000045	18288.000136	13	7	196.97763	6006030
15	112249	156.11	427	6815	3742	4875	1008	4063	2146	2938	20290850	17038330	16246610	14643160	49532	52075	52098	49537	2561	918	46833	7159	3411	5874	5259	6294	4126	4247	4348	6115	3	3	108	13
33	129989	333.4	876	5269	4262	3422	2387	6716	4743	5639	25046050	20789520	19135200	16944730	54586	59073	56203	54584	1619	264	60795	7560	6914	8270	8541	6640	4599	6133	4118	8020	6	8	119	5002017
37	362659	641.64	1245	21301	12270	10052	13442	18397	7275	11272	74400410	61584990	57582740	50600830	157522	190468	165770	157524	8246	3192	164172	24868	16364	22808	23104	20747	12255	14689	11038	18299	10	7	359	1049
44	87066	118.92	365	3309	3236	2291	1236	3777	1841	2879	19313870	16056040	15330450	13613190	39304	39250	41020	39303	1717	365	36697	5174	3314	5027	4669	4732	3445	3399	2272	4665	5	2	48	9
59	425404	733.89	1384	18836	13113	9473	16787	26304	9631	16425	106438380	85966480	82209350	71752570	193686	188818	200642	193682	6960	1413	197532	30292	24887	31679	27217	20835	16145	17777	10328	18372	36	17	378	52
60	88726	232.67	412	4362	3309	1791	1351	3575	2604	2806	17959710	15248640	14370780	12648060	39307	37572	41694	39306	2388	552	36947	4959	3252	4771	5091	4919	3564	2972	2853	4566	8	6	73	1016
61	425062.999821	698.93	1147.999999	30258.999991	15639.999996	9702.999993	6570.999998	23775.999985	23021.999992	14459.999991	96437249.952848	79418719.961103	70100839.960478	63854699.966855	176240.99991	189661.999927	182012.999905	176238.99991	5773.999994	681.999999	200722.999912	25780.999986	19063.999983	30131.999984	26926.999989	24976.999994	14674.999994	16821.999993	16191.999996	26152.999992	22	9	399.98986	1056
63	349530	487.14	1033	22786	12933	7860	8294	21143	8052	13073	80077030	65370260	59227050	52182710	144739	168147	148150	144736	3414	440	165792	21082	17708	22595	23508	19738	11227	15064	14261	20609	12	14	402	3036
70	62753	133.53	228	4611	2582	1192	1615	4814	1795	2565	16572810	13324290	11419860	10319830	25003	34703	25387	24995	392	26	32394	4942	3785	4446	4971	3934	2067	2595	2301	3353	0	3	80	10
88	81305	141.28	334	4745	2496	2676	2567	5058	1596	1776	20391210	16293890	14382000	12598660	32831	39870	33313	32831	482	49	42061	6007	3360	5168	6573	3909	3667	4396	3528	5453	0	2	68	12
95	61045	348.47	391	4628	2705	1347	1277	3120	1440	1785	14060580	11342080	10006700	8880990	24350	28951	25172	24355	817	52	29702	4237	2373	3747	3887	3631	2105	2870	2756	4096	3	1	41	1000019
111	56651	121.68	281	2529	1803	1311	1563	5650	1543	2865	16105970	12638770	11536220	10305760	22471	29322	22849	22470	379	45	29094	5140	5195	4319	3844	2588	1583	2339	1198	2888	1	1	208	8
116	101357	223.37	423	8581	3747	1976	3513	9421	2562	3034	28692940	22851450	19913740	17376950	41094	53876	41914	41098	816	100	55535	9119	6357	7883	8793	5571	3254	4129	3797	6632	1	1	346	1016
118	85287	211.56	437	4754	3967	1764	2330	5392	3154	2889	21712620	17827060	15440390	13969900	35318	43526	36481	35317	1164	98	42058	6481	4372	6027	6264	4584	2748	3300	3088	5194	44	4	64	14
128	135108	341.88	505	8560	4657	2797	3290	14624	4768	4731	41053530	32519680	27362030	24787100	52293	81068	53762	52284	1478	96	73280	14618	9305	11036	11230	7186	4543	5458	3591	6313	2	4	271	1023
129	77596.996645	137.549993	338.999989	4172.999862	2494.999909	1890.999888	1509.999933	3836.999795	1696.999916	2013.999898	15144529.3037	12653329.41992	12178019.37026	10738219.4537	34234.998343	37517.998366	36021.998221	34232.998344	1788.999877	261.999978	34186.998536	5443.999683	2555.999852	4303.999804	4343.999802	4167.999856	3096.999883	3353.999884	2687.999921	4231.999852	4	3	38.99	10
132	99875	259.82	446	4836	2639	3181	1323	7347	3717	5107	22255950	18160610	17292680	14977660	43366	46326	45001	43365	1636	338	46662	7808	7813	7183	5595	4290	2840	3638	2356	5139	4	2	185	1001017
139	203782	288.67	598	12891	9710	3477	6137	10762	6009	6663	45085030	37190650	32195500	28637570	81195	94640	83523	81190	2333	93	96601	12486	7944	12098	14746	12235	6876	8064	8988	13164	209	3	84	17
142	60091	102.55	299	3847	2086	1363	1075	7574	1229	1748	17100450	13513920	12116580	10384460	24739	32468	25188	24739	449	54	33143	5858	4059	4611	5131	3383	2153	2470	1836	3642	0	2	97	9
144	120816	328.63	567	6521	4064	2600	972	4167	2324	4518	23893800	20338400	19203780	16802990	52662	50395	56595	52673	3922	890	46495	6081	4184	5648	5595	5928	5211	3957	3840	6051	19	6	94	22
153	239803	388.43	757	12329	8505	4849	8105	26144	5935	10237	64793460	52078350	45201190	40202020	94508	118720	96922	94508	2414	273	126703	20686	19180	18644	19349	12295	6671	10458	6793	12627	2	6	452	1001029
156	136231	337.08	430	9037	5945	2529	4334	6930	2937	4010	31708090	25374520	21442250	18766970	55401	61768	56581	55399	1182	74	63535	8082	4617	7261	9834	7781	4045	6359	6721	8835	19	3	52	22
159	661229	914.94	2105	39059	21773	13128	22682	47560	17331	24904	141908620	116074020	105655220	91547410	276409	325925	283578	276402	7176	701	320571	45649	40418	45816	48644	33739	19282	27642	22910	36471	7	18	1268	5004071
160	50030	92.07	186	3981	1209	991	817	5982	848	1763	15715850	12344220	10740930	9670350	20260	29098	20798	20264	534	81	25809	5847	3884	3896	3689	2243	1378	1628	1283	1961	0	2	159	7
161	123089	153.4	372	9437	3371	2999	1603	10400	2172	3155	27362490	22536690	19595870	17361930	46610	55152	47476	46611	865	63	60031	8474	6126	7875	9348	6079	3534	5262	5864	7469	1	3	350	15
162	364118.000897	495.060003	697.000001	16478.000039	8559.000013	8611.000025	9317.000025	17984.000053	11416.000023	15020.000023	69526540.16874	58797020.14277	51865950.14277	46448660.11679	148056.000433	155824.000305	153009.000471	148067.000433	4942.000038	348.000005	156936.000355	21778.000057	24051.000065	25113.000072	22689.000039	13657.000022	9609.00002	13749.000023	9091.000019	17199.000038	8	27	380.99	2003037
170	197719	296.48	770	17716	6353	4283	7804	13234	4029	5402	44068650	35582030	31922960	27760670	82393	98758	84916	82383	2533	192	103072	14290	10391	13460	15185	11187	5353	9497	9948	13761	8	1	409	4002020
177	92211	137.59	153	6416	2211	1925	1542	3427	2410	2246	14453410	12777330	11902930	10272780	38635	33922	40275	38636	1639	60	36053	3942	3158	4567	4790	3991	2591	3401	3802	5811	3	1	63	13
184	449708	1144.17	1572	27085	18989	7192	24016	24569	10131	12557	116428020	91459170	75772600	66904110	190338	222626	196264	190346	5918	359	206112	31218	16962	26561	35923	25841	13400	16809	16655	22743	12	17	350	2002058
187	78235	166.13	297	6751	2211	1452	1247	7187	1395	2616	19540250	16056840	13864530	11830600	29677	39958	30339	29678	661	43	38647	6565	4661	5492	5331	4327	2418	2892	3027	3934	1	1	136	13
198	218008	552.4	672	11512	5324	4656	3333	7658	7184	8146	37786270	32347650	30054940	26956300	92175	95495	97231	92177	5054	697	86026	10161	10015	11842	11951	9702	6077	8337	6862	11079	2	3	164	5002028
215	8542730	10270.49	17530	322172	222645	176577	314715	791316	212310	296072	2508871169.99998	1979450109.99996	1836085899.99998	1588377059.99998	3576678	3399198	3685986	3576670	109316	17409	3992922	718813	576993	697315	618561	322678	236975	268219	199310	354058	243	436	12680.99	21023853
